SCZ,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972076416,165.7949981689453
MUA,Munda Airport,-8.32797,157.263
GZO,Nusatupe Airport,-8.09778022766,156.863998413
MNY,Mono Airport,-7.416940212249756,155.56500244140625
PRS,Parasi Airport,-9.641670227050781,161.4250030517578
OTV,Ontong Java Atoll Airstrip,-5.515,159.527778
RNL,Rennell/Tingoa Airport,-11.533900260925293,160.06300354003906
EGM,Sege Airport,-8.578889846801758,157.87600708007812
NNB,Santa Ana Airport,-10.847994,162.454108
RUS,Marau Airport,-9.861669540409999,160.824996948
VAO,Suavanao Airport,-7.585559844970703,158.7310028076172
XYA,Yandina Airport,-9.092816,159.21841
AGK,Kagua Airport,-6.396388888890001,143.853611111
KGE,Kaghau Airport,-7.3305,157.585
KUE,Kukudu Airport,-8.0262,156.94783
KWS,Kwailabesi Airport,-8.360508,160.775127
AGL,Wanigela Airport,-9.3375,149.155555556
NAZ,Nana Airport,-10.6758,162.2049
GTA,Gatokae Aerodrome,-8.738358,158.202836
RIN,Ringi Cove Airport,-8.12639045715332,157.14300537109375
RBV,Ramata Airport,-8.168060302734375,157.64300537109375
TLG,Tulaghi Heliport,-9.108,160.149166667
AGY,Argyle Downs Airport,-16.508604,128.922485
AHJ,Hongyuan Airport,32.53154,102.35224
AHY,Ambatolhy Airport,-20.015833333299998,45.535
AIE,Aiome Airport,-5.145699978,144.7307003
AIH,Aiambak Airport,-7.342777777779999,141.2675
AIC,Ailinglaplap Airok Airport,7.279422,168.8257
CEX,Chena Hot Springs Airport,65.0518035889,-146.04699707
SOL,Solomon State Field,64.5605,-164.4457
HED,Herendeen Bay Airport,55.801399231,-160.899002075
TWE,Taylor Airport,65.6792984009,-164.798995972
KTH,Tikchik Lodge Seaplane Base,59.9631996155,-158.477005005
NKI,Naukati Bay Seaplane Base,55.849602,-133.227994
LNI,Point Lonely Short Range Radar Site Airfield,70.911118,-153.237766
